"trees","train.mse","validate.mse","code"
50,371.213388501377,1165.90628865063,"FFT"
100,364.624252663717,1180.14965090855,"FFT"
150,361.615264374323,1168.99203840243,"FFT"
200,358.204790392424,1154.20134458906,"FFT"
250,357.277370380266,1157.45128804452,"FFT"
50,346.56590472459,1147.11768957824,"TTF"
100,335.22067459578,1162.71616956052,"TTF"
150,340.278498952899,1158.0365873578,"TTF"
200,337.758498357432,1164.52916633102,"TTF"
250,340.303140724137,1163.34534496295,"TTF"
50,353.686651497672,1171.56161069695,"FTF"
100,343.999331192299,1154.8598935694,"FTF"
150,343.725834541473,1166.80061780058,"FTF"
200,343.930756327999,1152.24036821295,"FTF"
250,340.755086987775,1156.38283989164,"FTF"
50,708.909990981783,1148.05072476913,"TFF"
100,702.600086183729,1140.91952304074,"TFF"
150,706.939529297714,1149.1297968013,"TFF"
200,706.58620123708,1149.36129754514,"TFF"
250,697.734856487951,1146.47567188824,"TFF"
50,805.080038241102,1137.76195301872,"FFF"
100,809.611063030347,1133.81945396349,"FFF"
150,805.781724566633,1133.8096874636,"FFF"
200,801.199645792181,1132.32436356716,"FFF"
250,805.967274577038,1131.45030519042,"FFF"
50,368.776257081412,1022.12424829097,"TTT"
100,346.672517540847,1013.47040260557,"TTT"
150,351.681022642489,1015.56433405234,"TTT"
200,343.579626675475,1022.94265890777,"TTT"
250,348.048330130444,1028.03632343763,"TTT"
50,364.394373738795,1034.51344940612,"FTT"
100,356.497916361285,1022.7789140873,"FTT"
150,355.224085282451,1022.25670318552,"FTT"
200,353.3301482485,1025.97015940105,"FTT"
250,353.226132684155,1023.72833184158,"FTT"
50,387.684865952768,1058.34897754763,"TFT"
100,370.065734576776,1060.12137761117,"TFT"
150,359.864126134488,1056.9205417291,"TFT"
200,360.673890691702,1058.88283342068,"TFT"
250,358.111728657472,1054.68166764427,"TFT"
50,375.904623883591,1060.41450837537,"FFT"
100,359.338685819419,1066.36681694541,"FFT"
150,361.861720677601,1060.09411633084,"FFT"
200,360.722235441369,1061.86701739718,"FFT"
250,364.766962458694,1069.24828059118,"FFT"
50,361.891153104209,1026.05932712631,"TTF"
100,355.67365778906,1028.23146237036,"TTF"
150,354.565465167581,1020.02581074406,"TTF"
200,350.672094749807,1027.59398190368,"TTF"
250,350.874372668721,1014.02648117169,"TTF"
50,356.038122659856,1020.2779550581,"FTF"
100,356.464896059177,1022.81443443156,"FTF"
150,352.823308880078,1019.30546096091,"FTF"
200,355.996141904598,1017.0391029219,"FTF"
250,351.928283881892,1017.53439555131,"FTF"
50,728.494452281763,1019.99272627428,"TFF"
100,718.144636760924,1025.1145718808,"TFF"
150,706.681624439501,1021.07086397368,"TFF"
200,712.555417198824,1023.5886494669,"TFF"
